epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,32767.9,0.90511,1.43676,1.02167,1.20124,0.8215,0.74862,0.82787,0.62338,0.78677,0.70877,0.76776,0.51299,0.90704,1.38455,0.77743,1.13993,0.001288,0.001288,0.001288
90,33280.4,0.90295,1.42309,1.01443,1.19954,0.82056,0.75086,0.82809,0.6237,0.79061,0.70712,0.76856,0.5134,0.90663,1.38379,0.77691,1.13948,0.001189,0.001189,0.001189
91,33788.5,0.81489,1.13829,0.75333,1.14789,0.82321,0.74998,0.82824,0.62418,0.78982,0.70994,0.76918,0.51352,0.90629,1.38324,0.77629,1.13926,0.00109,0.00109,0.00109
92,34294.9,0.8029,1.10772,0.72674,1.13857,0.82335,0.74957,0.82842,0.62453,0.78925,0.71007,0.76957,0.51342,0.90598,1.38217,0.77554,1.1389,0.000991,0.000991,0.000991
93,34801.9,0.79593,1.08475,0.71562,1.136,0.82225,0.74954,0.8286,0.62504,0.7879,0.71113,0.76984,0.51382,0.90577,1.38152,0.77487,1.1387,0.000892,0.000892,0.000892
94,35308.6,0.79036,1.08792,0.70661,1.12911,0.81983,0.75081,0.82859,0.62489,0.78605,0.71054,0.76896,0.51382,0.9055,1.38105,0.7743,1.13842,0.000793,0.000793,0.000793
95,35815.2,0.78602,1.07237,0.69588,1.12715,0.81877,0.751,0.82831,0.62518,0.78426,0.7117,0.76902,0.51417,0.90528,1.38078,0.77357,1.13833,0.000694,0.000694,0.000694
96,36322.1,0.78306,1.06334,0.6908,1.12471,0.81853,0.75253,0.82827,0.62508,0.78351,0.71177,0.76923,0.5142,0.90496,1.37963,0.77342,1.13799,0.000595,0.000595,0.000595
97,36829.1,0.7776,1.04363,0.68497,1.11966,0.81687,0.75339,0.82825,0.62526,0.78307,0.71326,0.76969,0.51438,0.90481,1.3794,0.77278,1.13784,0.000496,0.000496,0.000496
98,37335.9,0.77592,1.03867,0.6737,1.11902,0.81615,0.7529,0.82829,0.6255,0.78116,0.71455,0.76876,0.5142,0.90487,1.37863,0.77229,1.13774,0.000397,0.000397,0.000397
99,37843,0.76966,1.0174,0.66805,1.11252,0.81602,0.75294,0.82827,0.62559,0.78083,0.71355,0.76857,0.51452,0.90466,1.37867,0.77173,1.13752,0.000298,0.000298,0.000298
100,38349.9,0.76355,1.01613,0.66438,1.10954,0.81615,0.75242,0.82832,0.62581,0.78066,0.71391,0.76863,0.51459,0.90456,1.3785,0.77117,1.13744,0.000199,0.000199,0.000199
